line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English,isused
2437, para,54, for,RE, Creo que las puertas de ese claustro de abren a veces para ti..., I believe the doors of that cloister sometimes open for him...,x
2438, por,35, ?, , Lucia asombrada más que convencida por la insistencia de sor Gertrude no se atreve a oponerse a su deseo., Lucia more astonished than convinced by Sister Gertrude's insistence... cannot defy her will... and moves on...,
2439, por,7, for, , Rogaré por vos toda mi vida., I will pray for you all my life...,
2440, por,26, for, , Dios perdona tantas cosas por un acto de misericordia..., God pardons so many deeds for one act of mercy! ...,
2441, por,26, for, , Dios perdona tantas cosas por una obra de misericordia..., God pardons so many deeds for one act of mercy,
2442, por,50, for, , Virgen santísima que habéis hecho tantos milagros por los pobres atribulados ayúdame., Most Holy Virgin you who have performed so many miracles for the afflicted help me!,
2443, para,16, for, TD, Voto y renuncio para siempre a ese pobrecillo para no ser más de otro que vuestra., I make a vow to renounce that unfortunate fellow now and forever never to belong to anyone else but you.,
2444, por,58, ?, , Doña Prassese que aquellos días viajaba hacia Pescanerico por deseo del cardenal Borromeo toma bajo su protección a Lucia. ..., Donna Prassede who was holidaying near Pescarenico took Lucia under her protection in accordance with Cardinal Borromeo's wishes.,
2445, para,83, by, PU, Agnese sabedora con dolor de la partida de fray Cristoforo deja nuevamente su casa para volver al convento de Monza., Agnese aggrieved by Friar Cristoforo's departure left her home once again and returned to the convent in Monza.,
2446, para,47, for, PU, Así Lucia se ve forzada a abandonar a su madre para seguir a doña Prassede. Mientras don Rodrigo al ver que su abominable empresa ha sido vana también parte hacia Milán., Thus Lucia was obliged to leave her mother and follow Donna Prassede whilst Don Rodrigo his loathsome deed having now proved futile he too set off for Milan.,
2447, para,49, to, PU, El nombre del Innombrable animó a sus hombres no para acciones infames sino para liberar a los míseros oprimidos., The words of the Unnamed spurred his men no longer to commit villainous deeds but to free the oppressed!,
2448, por,6, to, , Fuese por coindicencia fuese a propósito él siempre estuvo desarmado a la cabeza de aquella especie de guarnición., Whether from principle or that he had made a vow to that effect he remained unarmed at the head of that garrison.,
2450, por,91, ?, , Y la terrible epidemia se extendió como un relámpago entre la mísera población ya exhausta por la pobreza y el saqueo., ... ...And the terrible disease spread like lightning through the poor population already stricken by famine and plunder...,
2451, por,15, ?, , Renzo temeroso por la suerte de Lucia llegaba con el corazón roto a las puertas de Milán., Renzo anxious about Lucia's fate arrived heartsick at the gates of Milan...,
2452, por,11, ?, , ¿Preguntas por una persona viva en el hospital?, Do you think a living person may be found in the lazaretto? ...,
2453, para,10, to, PU, Prepárate para hacer un sacrificio..., I will seek her in one place or another And if I do not find her! Be prepared to make a sacrifice...,
2454, para,21, for, TD, Hago voto y renuncio para siempre a ese pobrecito para no ser nunca de otro antes que tuya., I make a vow to renounce that unfortunate fellow for ever never to belong to anyone else but you!,
2455, por,9, ?, CA, Oh Lucia por qué he venido me preguntas después de tantas promesas., Oh Lucia! ... You ask me why I am here?,
2456, por,35, for, , Tú Lucia da a Renzo tus comisiones por tu madre., You Lucia entrust Renzo with your errands for your mother...,
2457, por,39, for, ," Pioneras del cine italiano"" financiado por el Ministerio para los Bienes y la Actividad cultural."," Pioneers of Italian cinema"" Funded by the Ministry for Good and Cultural Activity.",
2457, para,55, by,RE," Pioneras del cine italiano"" financiado por el Ministerio para los Bienes y la Actividad cultural."," Pioneers of Italian cinema"" Funded by the Ministry for Good and Cultural Activity.",
2458, por,52, ?, , La restauración de 'A santanotte' ha sido realizada por la Cineteca Nazionale, The restoration of 'A santanotte' has been Made by the Cineteca Nazionale,
2459, para,56, ?, PU, Esa mala pieza de mi hija se obstina en no darme dinero para comprar un vasito. -, - Thanks thanks.,
2460, por,27, ?, , - - Le gusta el vino negro por lo que veo., Come and We will drink a bottle.,
2461, por,23, ?, , -- ¡Tendré que echarle por sinvergüenza!, - I have seen and understood.,
2462, para,51, because,RE, Estará bien tener un yerno que me asegure la pasta para mi bebida., - What are they plotting? It's weird because One is her father and the other is Tore's friend.,
2464, para,13, to, PU, -- ¿Trabajar para ganar dinero?, I have someone who gives it to me to Buy whatever I need!,
2465, para,22, ?, PU, ¡Tengo quien me lo da para comprarme lo que necesito!, Who are you?,
2466, para,85, for,RE, - Soy la madre de Tore Spina y si me concede ese honor le pido la mano de Nanninella para mi hijo., - It is good for you to come.,
2467, para,55, to,RE, Con un padre como tú no quiero la prisión ni la muerte para Tore., - Father why do you want to kill My heart?,
2468, para,16, ?,RE, esa mujer no es para ti., Her father ... her father...,
2469, por,6, that, , -- ¿Y por eso ha venido hasta aquí?, Get it in your head that I will marry Nanninella whether You like it or not.,
2470, para,46, for,PE, - Nanninella aléjate de este lugar tan triste para ti., This place brings back sad memories for you.,
2471, para,51, for,PU, Trataré de saber si Carluccio ha calumniado a Tore para su propio interés., Now stay calm. I will try to find out if Carluccio has slandered Tore for his own interest.,
2472, para,25, for, PU, Sólo llevaba el uniforme para disimular y pasaba todo el día con, I only wore the Uniform to hide and spent all day with,
2473, para,32, to, PU, -- ¿Tendrás fuerzas suficientes para soportar la confesión de una duda que hará crecer el infierno de tus penas?, - Will you have enough strength to withstand the confession of a Doubt that will grow into a hell of your sorrows?,
2474, para,55, to,PU, ...Todo me hace pensar que Carluccio ha culpado a Tore para tenerte..., ... Everything makes me think that Carluccio has blamed Tore to have you...,
2475, por,36, for, , - - Nanninella te bendice mil veces por haberle traído la luz., - Nanninella blesses you a thousand times for bringing the light.,
2476, por,6, ?, CA, ¡Dime por qué me amas!, Tell me why.,
2477, para,33, to, PU, - Sí sólo se casa con ese hombre para saber si Tore es inocente., - Yes she is only marrying that man to find out If Tore is innocent.,
2478, para,44, to, PU, Nanninella se casa esta tarde con Carluccio para arrancarle la confesión de tu inocencia., Nanninella will marry Carluccio this afternoon in order to get a confession Of your innocence.,
2479, para,20, for,RE, - - No tengo flores para ti ¡pero te ofrezco mis lágrimas!, - I don't have any flowers for you But I offer you my tears!,
2480, por,25, for, , Si esta voz te despierta por la noche mientras abrazas a tu marido contra ti..., If this voice wakes you up for The night while you hold Your husband close to you ... ,
2481, por,19, to, , Es inútil ir a ver por la ventana no puedes equivocarte esa voz es la mía..., It's useless to go see through the window You can't go wrong That voice is mine ... ,
2482, para,5, for,RE, - Es para él..., - It's for him...,
2483, por,22, that, CA, -- ¿Es la única razón por la que le has olvidado?, - Is that the only reason you have forgotten him?,
2484, por,64, ?, , Víctimas del odio. La tragedia de un fabricante ruso en 4 actos por el Ing. Rafael Barisch, The tragedy of a Russian factory owner in four acts by Rafael Barisch,
2485, por,10, ?, ," Producida por la ""Institución Benéfica Judía", Produced by the Jewish Relief Organization,
2486, para,54, for,RE, Ahí puede Ud. ver ya el hospital que hemos construido para nuestros pobres y maltratados correligionarios que han sido expulsados de su patria y de sus casas..., There you can already see the hospital that we have built for our poor distressed fellow believers who have been chased away from their fatherland and home.,
2487, por,132, for, , Desgraciadamente toda nuestra buena disposición de ayudar no sirve aquí de nada para lo que han hecho personas cegadas e instigadas por el odio religioso y un ansia de libertad desencaminada., Unfortunately all our benevolent helpfulness cannot fix what blinded and incited people have committed out of religious hate and a misguided desire for freedom.,
2487, para,80, for,?, Desgraciadamente toda nuestra buena disposición de ayudar no sirve aquí de nada para lo que han hecho personas cegadas e instigadas por el odio religioso y un ansia de libertad desencaminada., Unfortunately all our benevolent helpfulness cannot fix what blinded and incited people have committed out of religious hate and a misguided desire for freedom.,
2488, para,47, to, PU, ¡El propietario de la fábrica aporta el dinero para que tengamos trabajo y carga con todos los riesgos del negocio...!, The factory owner puts up the money so that we have work to do and carries the entire risk of the business!,
2489, por,44, for, , ¿Cuánto tiempo vais a seguir sacrificándoos por las sanguijuelas de los propietarios de las fábricas?, How much longer do you want to sacrifice yourself for the factory owners the bloodsuckers?,
2490, para,28, to,PE, Siempre ha sido un buen amo para nosotros..., But he was always a good man to us...,
2491, por,14, to, ," ¡Solo pasando por encima de mi cadáver llegareis hasta nuestro amo!""!", Only over my dead body will you get to our master!,
2492, para,69, for,PE, Ahora podríamos ser tan felices si este tiempo no fuera tan terrible para nosotros los judíos...!, We could be so happy now if it wasn't so dangerous for us Jews these days...!,
2493, para,234, for,PU, ...y las noticias de la gran desgracia que había caído sobre los judíos en Rusia y en Polonia llegaron también a Viena y aunque la pobreza de esa ciudad era muy grande encontraron enseguida a personas nobles que se pusieron en marcha para aliviar, ...and the news of the great misfortune that befell the Jewish community in Russia and Poland also reached Vienna and despite the great squalor of this city they soon found noble people there who made it their task to,
2494, para,21, ?,RE, Ahora seré una carga para Ud., I must now impose myself on you.,
2495, por,15, ?, , Acto religioso por el aniversario de la muerte de un mecenas del orfanato., The anniversary of the death of a patron of the orphanage.,
2496, para,19, for,RE, El Hogar Elizabeth para huérfanos de guerra aprendizas y obreras., The Elizabeth Home for war orphans female apprentices and workers.,
2497, para,14, for,RE, El 'Internado para niños abandonados' en Viena., The Boarding School for Abandoned Boys in Vienna.,
2498, por,0,please, POR FAVOR, Por favor por favor contribuyan también con lo suyo para que puedan salvarse muchos niños huérfanos y contribuyan todos a los señores de nuestra institución que entre Uds. están recogiendo para nosotros con todo lo que puedan Hoy aún somos pequeños, Please please do contribute as many orphaned children like me can still be rescued. And give as much as you can to the men of our charity who want to collect for us.,x
2498, para,48, for, PU, Por favor por favor contribuyan también con lo suyo para que puedan salvarse muchos niños huérfanos y contribuyan todos a los señores de nuestra institución que entre Uds. están recogiendo para nosotros con todo lo que puedan Hoy aún somos pequeños, Please please do contribute as many orphaned children like me can still be rescued. And give as much as you can to the men of our charity who want to collect for us.,
2499, por,108, for, , pero nuestra gratitud crecerá con nosotros y con nosotros será cada vez mayor y no pararemos nunca de rezar por nuestros muchos benefactores., Today we are still small but our gratefulness will grow with us and like us get ever bigger. And we will never stop praying for our many benefactors.,
2500, por,101, for, , En la casa de té en el Paso vivió una vez una chica llamada Omitsu quien era conocida en todos lados por su belleza., In the teahouse in the Pass once lived a girl called Omitsu who was known far and wide for her beauty.,
2501, por,7, ?, , Omitsu por Yoshiko Tanaka., Omitsu by Yoshiko Tanaka.,
2502, por,19, ?, , Omitsu era hermosa por su dulzura y candidez delicada como un blanco crisantemo., Omitsu was as beautiful as she was sweet and gentle tender like a white chrysanthemum.,
2503, por,25, for, , Los aldeanos la adoraban por su pureza y virtud., The villagers adored her for her purity and virtue.,
2504, por,38, for, , Mi hogar es el Pasaje Kosuzume famoso por sus delicias dulces inaris tartas de arroz ohagi y los dulces de la casa de té de Omitsu, My home is the Kosuzume Pass famous for its delicacies sweet inari ohagi rice cakes and the candy of Omitsu's teahouse,
2505, por,13, ?, , Interpretado por Ichitaro Kataoka., Played by Ichitaro Kataoka.,
2506, por,27, ?, , Dos ladrones son apresados por la policía., Two thieves are chased by police.,
2507, por,44, to, , Tokutaro el vendedor de dulces justo pasaba por el lugar., Tokutaro the candy boy happens to pass by.,
2508, por,9, ?, , Salvados por el niño los ladrones respiraron aliviados., Saved by the boy the thieves breath a sigh of relief.,
2509, por,13, ?, , Interpretado por Shimpei T. Akagi, Played by Shimpei Takagi.,
2510, por,30,by, IS, Dos palanquines justo pasaban por allí., Two palanquin-carriers happened to pass by.,x
2511, para,9, for,RE, Heiji prepara la trampa para su próxima presa., Heiji lays the trap for his next prey.,x
2512, por,4,please, POR FAVOR, ¡No por favor!, No please!,x
2513, por,20,forever,IT, No pueden vivir así por siempre., You can't live this life forever.,x
2514, por,74,by,CA, El encanto abrasador de Tokutaro llegó al corazón de Santa y fue abrumado por un sentimiento de culpa., Tokutaro's ardent appeal reached Santa's heart and he was overwhelmed by a feeling of remorse.,x
2515, por,6, for, , ¡Bien por ti!, Good for you!,
2516, por,52, ?, , El samurai y también su esposa se vieron conmovidos por el pequeño y valiente niño., The samurai and his wife too were moved by the brave little boy.,
2517, por,44, to, , Rechazó todos los intentos de sus conocidos por buscarle una esposa., He declined all attempts of well-wishers to find him a wife.,
2518, por,19, ?, , Osaki interpretada por Shizuko Mori., Osaki played by Shizuko Mori.,
2519, por,88, ?, , Este es el hijo del prestamista un engreído caza-mujeres Kasuya Momonosuke interpretado por Tsumasaburo Bando., Meet the chief retainer's son a vain woman-chaser Kasuya Momonosuke played by Tsumasaburo Bando.,
2520, por,37, ?, , Viendo a la adorable Osaki cautivada por Tokutaro Momonosuke se lanzó a la caza de su presa., Seeing the lovely Osaki enraptured by Tokutaro Momonosuke swoops down on his prey.,
2521, por,9,please, POR FAVOR, ¡Hermano por favor!, Brother please!,x
2522, para,17, for,RE, ¡Un placer tanto para niños como para adultos!, A treat for children and adults alike!,
2523, por,39, for, , Mi hogar es el Pasaje Kosuzume. famoso por sus delicias, My home is the Kosuzume Pass famous for its delicacies,
2524, para,12, ?, PU, Llamémoslos para que vengan., Let's call them here.,
2525, para,28, ?, PU, Llamaremos a los vendedores para que vengan aquí., We will call the candy men here.,
2526, por,12, for, , ¿Harías eso por mí?, Will you do that for me?,
2527, por,15,please, POR FAVOR, Tú también ven por favor., You too please come.,x
2528, por,36, ?, , Santa y Senkichi están sorprendidos por la invitación., Santa and Senkichi are stunned by the invitation,
2529, por,10, for, CA, G-gracias por su gentil invitación., T-thank you very much for the kind invitation.,x
2530, por,0,here, IS, Por favor vengan por aquí., Please come over here.,x
2531, para,18, for,RE, Hay más recuerdos para ustedes., There are more refreshments for you.,x
2532, por,0,please,POR FAVOR, Por favor por aquí., Please this way.,x
2532, por,,this way, IS, Por favor por aquí., Please this way.,x
2533, por,28, ?, , Así Tokutaro fue reconocido por Mochizuki como su primogénito y sus amigos se convirtieron en aprendices de la familia del samurai., Thus Tokutaro was recognized by Mochizuki as his firstborn son and his friends became apprentices in the samurai's household.,
2534, por,104, for, , Mochizuki avanza solemnemente entre sus colegas y presenta orgulloso a su hijo ante el Señor reclamando por su paternidad., Mochizuki solemnly advances among the retainers and proudly introduces his son to the lord asking for his patronage.,
2535, por,6,please, POR FAVOR, Padre por favor..., Father please...,x
2536, para,29, for,PE, Fue un momento muy lastimoso para Mochizuki viendo a su hijo humillado en frente de todos., It was a painful moment for Mochizuki seeing his son humiliated in front of everybody.,x
2537, para,29, to, PU, Es un desperdicio entrenarlo para ser samurai., It's a waste to train him to be a samurai.,x
2538, para,18, to,PE, Eres una deshonra para la casta samurai., You're a shame to the name of the samurai.,x
2539, por,30,so,CA, Lo que él hizo fue ultrajante por eso le devolví el golpe., What he did was outrageous so I struck him back.,x
2540, por,9, for,CA, ¡Esto es por mi hermano!, This is for my brother!,x
2541, por,10,by,CA, Inspirado por la justificada ira de Mochizuki el resto peleó como leones., Inspired by Mochizuki's righteous anger the rest fought like lions.,x
2542, por,16,about,TO, No te preocupes por nada., Don't worry about anything.,x
2543, por,16,about,TO, No te preocupes por mí., Don't worry about me.,x
2544, para,67, to, PU, Humildemente debemos aceptar tu sacrificio y abandonar este pueblo para vivir en el exilio., We shall humbly accept your sacrifice and leave this town to live in exile.,x
2545, para,77, for, PU, Mi querido Beudet: Así como dispusimos esta tarde le envío incluido un palco para esta noche del que posiblemente puedan sacar provecho su mujer usted y la familia Lebas. Menard., Dear Beudet As arranged I send you loge tickets for tonight maybe you could bring your wife and your associate Lebas.,
2546, para,27, ?, PU, ¿Cómo tendría yo que hacer para vivir sin ti?, 'How could I live without you?,
2547, por,33, ?, , Con ruidos añadidos y elaborados por Martin y Andreas Lippl, With added noises and elaborated by Martin and Andreas Lippl.,
2548, por,15, for,IN, ... ¡¡Mi reino por un sombrero!, My kingdom for a hat!,x
2549, para,8, for,RE, Alcohol para quien tenga penas., Alcohol for those who have sorrows.,x
2550, por,38,why, CA, Rrrrásss... un pequeño contratiempo o por qué ho hay que asustar al barbero., Rrrrásss... a little mishap or why you have to scare the barber.,x
2551, por,8, for,CA, Más que por el duro trabajo Marie sufría por los deseos de este hombre que no le inspiraba más que temor., More than the hard work Marie suffered for the wishes of this man that did not inspire him more than fear.,x
2552, por,12, to, , Jean tenido por culpable acababa de cumplir un año de prisión., Jean held to be guilty had just served one year in prison.,
2553, por,2,in, IT, Y por la tarde nada..., And in the afternoon nothing ...,x
2554, por,76, ?, , Mientras que Marie recobraba la esperanza de ver vivir a su hijo Petit Paul por su parte..., While Marie recovered the hope of seeing her son alive   Petit Paul on the other hand ...,
2555, por,35, for, , Incluso se escriben cartas de amor por las paredes del barrio., Even letters are written of love for the walls of the neighborhood.,
2556, para,50, for,PU, ...no encontará Ud. un mejor comprador que Raffke para su palacio., You will not find a better buyer for your castle than Raffke.,
2557, por,22, for,CA, ¡Lo que hecho lo hice por amor!, What I have done I've done for love.,
2558, para,51, to, PU, Queridos invitados no les he hecho venir solamente para la inauguración de mi palacio sino porque tengo una jubilosa sorpresa., My dear guests I have not only invited you to this house warming but also to be witness to a joyous surprise.,
2559, para,33, for,PU, Paul no sabe que yo di el dinero para su negocio..., Paul doesn't know that I gave him the money for his business.,
2560, para,38, ?, PU, Ponte tu traje bueno... vamos a salir para que cambies de ideas., Put on your best clothes and we'll go out... it'll clear your mind.,
2561, para,65, for,PU, Reclámele inmediatamente a Paul Gruhne el dinero que le dejó Ud. para su negocio., Ask Paul Gruhne for the money you gave him for his business.,
2562, por,5, ?, , Dese por vencido ¡vaya a ver a su padre!, Pluck up your courage. Go and see your father.,
2563, por,48, ?, , Pero no obstante la letra debería estar firmada por su padre como avalista., With with one condition: this check must be guaranteed by your father.,
2564, para,0, ?,RE, Para ti y para tu hijo mi casa siempre estará abierta., You can come live here with your child.,
2565, para,33, to,RE, No puedo seguir siendo una carga para ti., I cannot longer be a burden to you.,
2567, para,33, for,RE, Tengo otro regalo de aniversario para Ud..., I have a birthday present for you.,
2568, por,17, for, , La hemos buscado por todas partes srta. Tatiana..., We've searched for you everywhere Tatiana.,
2569, por,95, for,AD, Querida Lilli me acaban de traer a nuestro hijo completamente empapado tiene fiebre y pregunta por ti., Dear Lilly our child was brought to me completely soaked. He is feverish and asks for you.,x
2571, por,95,ERR,ERROR, Querida Lilli me acaban de traer a nuestro hijo completamente empapado tiene fiebre y pregunta por ti., Dear Lilly... Our child was brought to me completely soaked he is feverish and asks for you.,x
2572, para,9, for,TD, Pan sólo para dos días., Bread for just two days.,x
2573, por,27,on,IS, La historia del Mundo pasa por encima de ellas., The stories the World passes on.,x
2574, para,21, for, PU, Quise crear escuelas para mi país... fomentar el Arte y la Ciencia..., I wanted to create schools for my country ... promote the arts and sciences ...,
2575, para,32, to, PU, ¿¡Tengo que firmar la paz ahora para que todo eso se quede en nada! ?, Must I make peace now while there so much left to do!,
2576, para,9, per, PU, Majestad para superar lo que está Ud. viviendo..., Your Majesty to overcome what you have experienced ...,
2577, por,28, ?, , ¡Mi más sentida condolencia por la pérdida de Vuestra Majestad!, My deepest condolences on the loss of your Majesty!,
2579, para,4, ?, PU, ¡Es para volverse loco!, It will drive you crazy!,
2580, por,20, that, , Una miserable aldea por la que se pelean Reyes., A poor village that the King struggles for,
2581, por,25, for, , El Rey prusiano nos toma por tontos., The Prussian King takes us for fools.,
2582, para,23, from, PU, ¡Mis magiares no están para pasearse de aquí para allá!, My Magyars are not here to go from one place to another!,
2583, por,29, ?, , Cabalga llorando en silencio por el bosque..., He rides silently through the woods ...,
2584, por,43, to, , ¡La infantería hace un giro a la izquierda por batallones!, The infantry made a shift to the battalions on the left!,
2585, para,46, for, PU, Príncipe Dessau ¿qué regimiento me aconsejáis para el asalto a la colina?, Prince Dessau which regiment do you want for the assault on the hill?,
2586, para,37, per,PU, No he posicionado tipos desesperados para eso..., I have not positioned any desperate men for it ...,
2588, por,14, ?, , Toma la aldea por el otro flanco, Take the village on the other side,
2589, por,14, ?, , Pero si viene por el otro flanco ¿entonces qué... sr., But if he comes on the other side Then what ... General Daun?,
2590, para,29, to, PU, ¡Las barricadas están listas para el ataque!, The barricades are ready to be attacked!,
2591, para,11, for, PU, Mal tiempo para viajar., Bad weather for travel.,
2592, para,23, for,PE, Es demasiado peligroso para todos nosotros., It's too dangerous for all of us.,
2593, para,38, to, PU, Se echó una vez al cuello de su padre para defender a su madre de él., Back then he jumped at the father's deer to shoot his mother in front of him.,
2594, por,19, to, , Mi madre ha pasado por mucho. ¿Quiere Ud. quedarse conmigo hasta que pueda sacarla a ella de esta casa?," chive ""My mother has been through a lot. ""Do you want to stay with her until I can take her out of this house?",
2597, por,52, ?, IT, El sr. Blent me dijo que no volverá antes de mañana por la tarde., Mr. Blent won't be back until tomorrow afternoon he told me.,
2598, para,13,DISTRANS,PU, ...a las dos para llevaros de aquí., ... Get away from here.,x
2599, por,12, ?, , Me desperté por un ruido y vi..., I woke up from a noise and...,
2600, por,45, ?, CA, A menudo se hacen cosas en la vida sin saber por qué., You often do something in life and don't know why.,
2601, por,22, ?, , ¿Tanto te entristeces por mí?, Are you worried about me like that?,
2602, para,63, to,PU, Era en la amplia plaza de la catedral donde la gente se reunía para celebrar, It was in the broad cathedral square that the people met to celebrate-,
2603, por,44, to, , Único día del año en que la gente machacada por la tiranía se entregaba al desenfreno., The one day of the year when the people crushed by tyranny gave themselves to unrestrained pleasure.,
2604, por,99, for, , La Catedral también cobija al hermano de Archi-diácono Jehan quien ha abandonado las ropas de cura por atuendos más mundanos-, The Cathedral also sheltered the Arch- deacon's brother Jehan who had foresworn a priest's robes for more worldly garb-,
2605, para,44, to, PU, Se recluye en este lugar oscuro y vive sólo para maldecir y rezar., She secludes herself in this dark place and lives but to curse and pray.,
2606, por,38, for, , Devuélvemela Dios mío aunque sólo sea por un instante., Give her back to me O Lord -if only for a moment.,
2607, por,36, to, , Jehan conocía las solitarias calles por donde Esmeralda debía pasar camino de casa., Jehan knew the lonely streets where Esmeralda had to pass on her way home.,
2608, para,13, for, PU, No es seguro para una criatura tan bella como vos ir sola a estas horas!, It isn't safe for a pretty child like you to be out alone at this hour!,
2609, para,148, from, PU, La Corte de los Milagros la ciudad de los ladrones repugnane borrón en la faz de Paris. Una cloaca de la que escapaba cada mañana y a la que volvía para estancarse cada noche, The Court of Miracles - the city of thieves - a hideous blot on the face of Paris - a sink from whence escaped every morning and to which returned to stagnate every night that stream of vice and vagrancy which ever flows through the streets of a capital.,
2612, por,24, that, , ... que sería cortejada por un noble Capitán de la Guardia., ... that I should be wooed by a noble Captain of the Guards.,
2613, por,12, for, , El jorobado por el crimen de intento de secuestro probó por primera vez la justicia del Rey., The hunchback for the attempted crime of kidnapping had his first taste of the King's justice.,
2614, por,33, for, , Otra vez un esclavo debía sufrir por el crimen de su amo., Again was a slave to suffer for his master's crime.,
2615, por,4, for, , ... por atacar con nocturnidad y por alterar la paz de Su Majestad nuestro Rey., ... for nocturnal attack and disturbing the peace of His Majesty our King.,
2616, por,32, ?, , Para celebra el honor conferido por el Rey Louis al Capitán Phoebus Madame de Gondelaurier da un baile., To celebrate the honor conferred by King Louis upon Captain Phoebus Madame de Gondelaurier gives a ball.,
2617, para,12, for,PU, He hecho preparativos para eso., I have prepared for that.,
2618, para,17, for,RE, Tengo un mensaje para Capitán Phoebus., I have a message for Captain Phoebus,
2619, por,99, ?, , Vosotros los nobles habéis abusado de vuestro poder y nos habéis pisoteado pero no podréis hacerlo por siempre., You nobles have lorded it over us and trampled on us -but you can't do it forever.,
2620, por,46, for, , La mitad del tesoro de Notre Dame para vos... por la mano de Esmeralda., Half of the treasure of Notre Dame to you - for the hand of Esmeralda in marriage.,
2620, para,34, for,RE, La mitad del tesoro de Notre Dame para vos... por la mano de Esmeralda., Half of the treasure of Notre Dame to you - for the hand of Esmeralda in marriage.,
2621, para,17, by,PU, Phoebus sólo era para veros una vez más ¡y deciros adiós!, Phoebus it was only to see you once more - and say good-bye!,
2622, por,17, for, , Debo abandonaros por vuestro bien - ¡por vuestro futuro!, I must give you up for your own sake - for your future!,
2623, por,9, ?, , ¡Incluso por vuestra propia vida!, Even your life itself!,
2624, para,39, for, PU," El ""interrogatorio"" - sistema medieval para forzar una confesión."," The ""question"" - the system of the Middle Ages to force confession.",
2625, por,46,NONE,TO, Monsieur el hermano del Archidiácono pregunta por la salud del Captain Phoebus., Monsieur the brother of the Archdeacon inquires the health of Captain Phoebus.,
2626, por,8, to, , Vengo a por Esmeralda., I come to get Esmeralda.,
2627, por,18, for,CA, ¡Todo lo he hecho por amor a vos!, All I have done was for love of you!,
2628, para,12, ?, PU, Él no sabía para qué pobre alma doblaría las campanas., For what poor soul he rang he did not know.,
2629, para,24, for,RE, Una agradable diversión para los obreros que reparaban la Catedral., A pleasant diversion for the workmen who were repairing the Cathedral.,
2630, para,92, for, PU, Con planes de rescatar a Esmeralda en su camino a la horca Clopin esperaba el día anunciado para la ejecución., With plans all made for rescuing Esmeralda on her way tot he gallows Clopin was awaiting the day that had been announced for the execution.,
2631, para,23, to, PU, Temían una sublevación para rescatar a Esmeralda., They feared an uprising to rescue Esmeralda.,
2632, por,26, for, , El Emperador Franz I reza por la victoria de sus armas., Emperor Franz I prays for the victory of his armies.,
2633, para,37, for, PU, ¡Piénsalo tenemos muchas más razones para la tristeza que para el entusiasmo!, Think about it we have far more reason for sorrow than enthusiasm.,
2634, por,18, ?, , ¡y cayó alcanzado por una bala de un oficial francés!, and fell from a shot by a French officer.,
2635, por,9, for, , ¡Tu amor por el Príncipe de Valois es el que habla por ti!, It is your love for the Prince of Valois that speaks through you.,
2636, por,92, to, , El ciego desterrado el Duque de Valois cuyos derechos al trono de Francia fueron pisoteados por Napoleón..., The banished blind the Duke of Valois whose rights to the French crown were trampled on by Napoleon.,
2637, para,64, to, PU, Estoy decidido a pedirle hoy mismo a mi padre su consentimiento para que nos casemos., I have decided to ask my father to consent to our marriage today.,
2638, para,105, for, TD, ¡Me resignaría antes a perder a mi único hijo que a dar mi consentimiento a un matrimonio que ensuciaría para siempre nuestro glorioso escudo de armas!, I'd rather lose my only son than give my consent to a marriage - that would forever stain our glorious coat-of-arms.,
2639, para,55, for,RE, He venido a deciros... ¡Mañana mi padre vendrá a pedir para mí la mano de Agathe!, Tomorrow my father will come to ask for Agathe's hand on my behalf.,
2640, por,32, to, , He prometido a mis amigos pasar por el 'Nußbaum' a despedirme antes de partir para el campo de batalla., I can't. I have promised my friends to bid farewell to them at the Nussbaum before entering the field.,
2640, para,76, for, PU, He prometido a mis amigos pasar por el 'Nußbaum' a despedirme antes de partir para el campo de batalla., I can't. I have promised my friends to bid farewell to them at the Nussbaum before entering the field.,
2641, por,10, to, , Brindemos por la salud de la feliz pareja., Let's drink to the health of the happy couple.,
2642, para,24, for,PE, ¡Eras demasiado humilde para ellos!, You were too low for them!,
2643, para,41, to, PU, Vete a casa de Klähr y deja estas flores para el fallecido Medardus sobre el cojín., Go to the Klähr house and put these flowers on dead Medardus's pillow.,
2645, para,63, to, PU, Nosotros los Valois no tenemos derecho a llevar luto ni tiempo para pensar en la felicidad., We the Valois have no right to mourn and no time to think of love.,
2646, por,54, for, , Inmediatamente después de nuestro matrimonio vizconde por el interés de nuestra sagrada causa viajará Ud. a París., Right after our marriage you must travel to Paris for the sake of our holy cause viscount.,
2647, para,106, per, PU, Mientras Napoleón entra victorioso en la ciudad el ejército austriaco reúne las últimas fuerzas en Aspern para la batalla decisiva., While Napoleon enters the city victoriously - the Austrian army at Aspern gathers its last strength for a decisive battle.,
2648, por,21, ?, , Medardus se apresura por la puerta de la ciudad hacia el Palacio Ducal donde Helene de Valois acababa de convertirse en la esposa de su primo ante Dios y ante los hombres., where Helene of Valois was just becoming the wife of her cousin before God and men.,
2649, por,22, ?, , Entiendo que el dolor por la muerte de su hermana lo enloquece., I understand it's the pain over losing your sister -that's making you mad. that's making you mad.,
2650, para,154, for, PU, ¡Le digo y le juro que no tocará Ud. jamás ni la punta de mis dedos si no emprende esta misma noche el viaje hacia nuestros amigos que le están esperando para iniciar el ataque decisivo!, And I swear to you that you won't touch even the tips of my fingers if you don't make the journey - to our friends who are waiting for you to start the decisive offensive.,
