line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English
546, para,75, for, PU, El célebre escultor Pierre Clémenceau desde la cárcel escribe sus memorias para el abogado defensor., The famous sculptor Pierre Clemenceau writes his memoirs from prison for the defence attorney.
548, para,84, because, PU, servirán a mi hijo como lección de vida cuando tenga la edad de poderlas comprender para que vea que mi amor resplandece sin mancha en esta fiel narración del íntimo drama que oscureció mi vida., They will serve my son as a lesson in life when he will be old enough to understand because he will see how my honour shines free of any stains in this faithful record of the intimate drama that darkened my life.
550, para,21, for, PU, Toma esta invitación para un baile donde podrás conocer mejor el mundo..., Take this invitation for a ball where... you will learn to know the world better.
559, para,54, to, PU, Si hubiese podido habría detenido el curso del tiempo para hacer interminables nuestros coloquios., If I could I would have stopped the course of time to make interminable our sweet talks.
564, para,80, for, PU, Ese príncipe que me ofrecen no arrancará tu amor de mi corazón y volveré pronto para ser tu esposa. ¿Me esperarás?, This prince they offer me will not rip your love from my heart and I'll be back soon to be your bride. Will you wait for me?
567, para,28, to, PU, Mientras esperas mi regreso para casarnos trabaja mucho para obtener fama y riqueza. ¡Riqueza!, While you are waiting my return to get married works a lot to get fame and wealth. The richness!
568, para,18, to, PU, Es el único medio para convencer a mi tía ya sabes., It is the only way to convince my aunt you know;
572, para,90, from, PU, Orden de internamiento. La marquesa Dobronowska y su sobrina dejarán hoy mismo la capital para ser internadas en el pueblo de Kalaievo previa requisa de todos los objetos de valor que hayan recibido del príncipe Sergio Stilikine. El jefe de la policía., Police of the capital (private) Internment order The Marchesa Mathilde Dobronowska and her niece Iza will leave the capital today to be interned in the village of Kalaievo after seizure of all objects of value they have received from Prince Sergio Stolikine The police chief Denialeff
573, para,31, for, PU, No obstante ella lleva guantes para no estropear sus finas manos por las que siente igual que por sus pies adoración como las cortesanas., Despite his gloves not to ruin them his hands of mother of pearl transparency for which he has as for his feet his own adoration of the great courtesans.
575, para,16, to, PU, Le mandé dinero para que regresara y abandonase a su tía cuya influencia era sin duda la causa determinante del temporal eclipse de nuestro amor..., I decided to marry her I sent her of money to return to me and leave her aunt whose influence was doubtlessly the reason that had caused the temporary eclipse of our love...
576, para,117, for, PU, Mientras se acerca el día de su proceso el escultor Pierre Clémenceau continúa escribiendo en la cárcel sus memorias para el abogado defensor., As the date for the trial approaches the sculptor Pierre Clémenceau keeps writing his memoires in prison for the defence.
578, para,118, to, PU, Y mientras Clémenceau trata de satisfacer el deseo de Iza reflexionando sobre las ideas que se le ocurrían ella corre para sumergir en las heladas aguas su grácil cuerpo de escultural belleza., And while Clémenceau tries to satisfy Iza's wishes reflecting to himself on the strangeness of the ideas that beset her she runs to immerse her gracious body of sculptural beauty water in the frozen waters.
580, para,24, for, PU, ...Mi vida era feliz. Y para tener un mayor encanto un hijo bello como un ángel vino a formar parte de nuestro hogar; desde sus labios rosados la fortuna nos sonreía., ... My life was happy and to give it even more charm a son handsome like an angel came to be part of our hearth and from his rosy lips fortune smiled...
583, para,31, to, PU," Está en París y ha venido sólo para verte."" ""No no puedo aceptarlo."," He is in Paris and he came only to see you."" ""No I can not accept it."
586, para,31, by, PU, Y como fulminada por un rayo cae para no levantarse más llevándose a la tumba el secreto de mi desventura., And as if struck by a thunderbolt she fell never to get up again taking the secret of my misfortune to her grave.
589, para,7, for, PU, Pierre para olvidar se va a Roma., Pierre to forget moved to Rome.
591, para,116, for, PU, Al ver a Costantino siente renacer su sed de venganza no saciada Y le pide que vaya a su palacio la noche siguiente para hablarle de cuestiones de máxima importancia., In the presence of Costantine she feels her thirst for revenge reborn that was not extinct  and asks to come to his palace the following night to talk to him of issues of the utmost importance.
595, para,23, to, PU, Se decide a escribirle para verla una última vez., I decided to write them.
605, para,93, to, PU, Yo blando el látigo de Menippus azoto las debilidades las costumbres y vicios de mi tiempo y para los espíritus sanos del mundo canto la canción del primer amor., - I wield a Menippus's whip which I use to scourge lust weakness and customs and vices of my time; and to promote health to the spirits To the world I sang the song of first love.
609, para,20, to, PU," Te privo de ella no para ofenderte sino para defenderte"".", - I'll make your hair short not to offend you but to protect you.
612, para,30, to, PU, Tristano olvida su arrogancia para defender la causa de su hermano., Tristano overcomes his pride to save his brother's life.
614, para,22, to, PU, Hector recoge a Hilde para ir a casarse, Hector takes Hilde to be married.
615, para,27, to, PU, Hilde se traslada al campo para criar a su hijo, Hilde moves to the countryside to raise her son.
616, para,65, to, PU, Hilde no acepta la propuesta de Hans... y le pide fuerzas a Dios para ser una buena madre, Hilde refuses Hans's request ... and asks God to make her a good mother.
618, para,93, for, PU," Entre mayo de 1916 y octubre de 1917 Chaplin produjo sus mejores comedias cortas como series para la ""Mutual Film Corporation", Between May 1916 and October 1917 Chaplin produced his finest short comedies as a series for the Mutual Film Corporation.
619, para,85, ?, PU," El inmigrante"" fue la onceava película de Charlie Chaplin en la serie de 12 comedias para la ""Mutual"" siendo estrenada el 17 de junio de 1917.", The Immigrant was Charlie Chaplin's eleventh film in his series of twelve Mutual comedies being first released on June 17 1917.
620, para,96, per, PU," Tal era el perfeccionismo de Chaplin en ese momento que fueron tomados 90.000 pies de negativos para la producción y Charlie estuvo 4 días y 4 noches sin descansar mientras editaba la copia final de ""El inmigrante"".", Such were Chaplin's demands for perfection by this time that 90.000 feet of negative was photographed for the production and Charlie went four days and nights without rest while editing The Immigrant to final lenght.
621, para,8, for, PU, Un café para la señora., Coffee for the lady.
622, para,30, for, PU, BAZAR DE BENEFICENCIA ENTRADA para el Sr. Henri van Reinhoven, charity bazaar Ticket of admission for sir Henri van Reinhoven
627, para,25, to, PU, Espero verte pronto aquí para que seas testigo de mi felicidad., I hope that I shall see you here soon to be witness of my happiness.
633, para,64, to, PU, Ahora Yan Luo del Beihai ha liderado a todos sus barcos piratas para actuar. invadir nuestro mar., Now the North Sea Yama has led all his pirate ships out to invade our waters and point their swords at our Wuji City.
634, para,10, for, PU, Prepárate para la batalla., Get ready for battle!
639, para,0, for, PU, para manipular mi trabajo para ustedes., You want to make me work for you.
640, para,33, to, PU, Te dedicamos esto. Es suficiente para mostrar nuestra sinceridad, If we dedicate this to you is it enough to show our sincerity?
642, para,63, to, PU, En aquel entonces la Ciudad Wuji temía mi capacidad Me amenazó para amenazarme y fue encarcelado., Back then your Wuji City was afraid of my ability and used the lives of my crew to blackmail me to voluntarily surrender.
643, para,24, for, PU, Me amenazó varias veces para trabajar por ustedes., I am in the ice prison but you tried to threaten me several times to work for you.
646, para,14, to, PU, Hoy tengo que para mejorar el ranking, I must take you two to improve my ranking today.
648, para,27, for, PU, Tal vez es el arma afilado para controlar el farol., Maybe it is a powerful weapon for us to drive through the Waters of Death and defeat the Lantern Ghost King.
649, para,47, to, PU, La última vez llevé a mis hermanos al calabozo para salvarte., Last time when I went to save you in the ice prison with our brothers.
652, para,16, for, PU, Come algo bueno para nutrir la salud, Have something good to eat. Make up for your body.
655, para,17, to, PU, Hace veinte años para enfrentar la deficiencia de recursos futuros, Twenty years ago to meet the extreme lack of resources in the future
656, para,57, to, PU, Luo Dayong y yo como investigadores hemos sido ordenados para investigar que puede evolucionar rápidamente el cuerpo humano para adaptarse a la supervivencia del océano., Luo Dayong and I were appointed as researchers to develop a reagent that can evolve human body real fast to adapt to living in the sea.
661, para,34, to, PU, Convoca a los otros cuatro reinos para enviar una orden secreta a los piratas marinos., Assemble the other four kings and send out a secret order to all pirates on the sea.
665, para,12, for, PU, Todo se usa para el motor del vapor para el vapor se encarga de abrir y excavar, He is in charge of the excavating and mining of all the coals and minerals used for steam power.
672, para,16, for, PU, Si la persigues para perseguirla., It might be hard for you to go after her.
677, para,0, per, PU, Para salvarla para salvarla., In order to save her I did an experiment on her privately.
678, para,13, for, PU, Todo esto es para atraerte., I did all these things just for attracting you here.
679, para,5, for, PU, Solo para que la búsqueda de nuevo continente de encontrar un nuevo continente., The purpose is to make the show of looking for the new land more real.
680, para,27, to, PU, Puedo darte todo mi dinero para que tu hija tenga el mejor tratamiento, I can give all my money to you so that your daughter can receive the best treatment.
684, para,33, to, PU, estoy dispuesto a usar mi sangre para salvar a tu hija., I'm willing to save your daugther with my own blood.
686, para,65, for, PU, Si es posible por favor déjame usar el resto de mi vida la botella para disculparse., If I could please let me repent of and atone forâ¦ -Bottle. -Bottle.
693, para,14, for, PU, No hay motivo para desesperarse un bote hundido es nuestra salvación y tres sacos de grano de cebada nuestro puerto., There's no cause for grief a sunken dory supplies our relief three barley grain casks our dock.
695, para,165, by, PU, A comienzos del siglo XVI un grupo de españoles consiguen con la astucia conquistar Méjico sometiendo a cien mil guerreros aztecas y a un pueblo que poseía riquezas para comprar el mundo., At the beginning of the 16th century a band of Spaniards succeeded by guile to conquer Mexico subjugating a hundred thousand Aztec warriors and a people who possessed wealth quite sufficient to buy the world.
696, para,121, by, PU, Y los españoles aprovecharon el hecho de que su llegada a tierras mejicanas coincidiera con la fecha fijada por la leyenda para el esperado regreso del Blanco Nume., And the Spaniards took advantage of the fact that their arrival on Mexican soil corresponded with the date fixed by the legend for the long-awaited return of the white God.
698, para,37, for, PU, - - He venido de muy lejos prima mía para pedir tu mano de esposa., I have come from afar my cousin to ask for your hand in marriage!
699, para,108, per, PU, - Con estos dos jefes de tribu id al encuentro de los extranjeros ofrecedles preciosos dones y convencedles para que partan., With these two heads of tribes visit the foreigners... and by giving them precious gifts persuade them to go!
703, para,72, because, PU, - No somos enemigos pero queremos entrar a toda costa en vuestra ciudad para que los aztecas se postren ante la Cruz.," We do not want to be enemies but at all costs we must come into your city... because the Aztecs must bow down before the Cross""."
705, para,11, from, PU, Vengo aquí para recibir tu homenaje y para guiar hacia la Cruz a tu pueblo que ahora yace en las tinieblas de la idolatría.," ... I come here to receive from you a tribute and to drive your people... now lying in the darkness of idolatry towards the Cross""."
706, para,35, to, PU, - Pero si puedo abriros esa puerta para salvar al capitán ¿abandonaréis la ciudad sin querer conquistarla? - ¿Lo juráis?, But after I have given you the way to save your captain... you will leave the city without attempting to conquer it?
708, para,33, ?, PU, Del campo no crecerá ni un grano para alimentarte., Arid will be each land whereon thou shalt live! ...
709, para,61, to, PU, Y todos los dioses incluso el de los cristianos te olvidarán para la eternidad., ... The Sun will no more give light to your eyes! ...
710, para,23, for, PU, Ya que no hay súbditos para gobernar ¡déjame morir aquí junto a mi padre que murió por su pueblo!, No! I will not try to save myself! Since I have no more subjects to govern let me die here at the side of my father who died for his people!
711, para,41, to, PU, ¡Habría que matarse los unos a los otros para poseerlo!, If you have to cut each others throats to possess this treasure... then to hell with it!
715, para,22, to, PU, Von Reizenstein se prepara para cumplir su pena., Von Reizenstein gets ready to serve time.
717, para,15, to, PU, La señora está para besarla., Madame looks good enough to kiss.
728, para,72, by, PU, La magnífica gran pintura del pintor LIND fue comprada en la exposición para el Museo., The magnificent painting by Lind was bought at the exposition by the museum.
731, para,49, to, PU, Prométeme que vas a utilizar todos tus esfuerzos para el divorcio., Promise me you will attempt everything in order to get a divorce.
734, para,57, to, PU, El notario notifica a Lena las deudas de su marido y que para pagarlas tendría que vender sus posesiones., The accountant notified Margrit of her husband's debts and that to pay those all her possessions would have to be sold.
735, para,38, for, PU, Por Lena que ahora está en la pobreza para proporcionarle un medio de vida busca su antiguo amigo Kruger un cabaret cuyo propietario es un conocido suyo., Margrit's old pal Kruger forwards Margrit now impoverished to an acquaintance's cabaret so she can provide herself the means to live.
738, para,43, for, PU, Knud el hermano de Frits llega a la ciudad para hacer compras., Knud Arvid's brother travels to the city for his purchases.
742, para,46, ?, PU, Mañana se cumplirá nuestro deseo todo está preparado para la huida., Tomorrow our desire will be fulfilled the escape has been fully prepared.
746, para,62, for, PU, Durante muchos meses Ushakapilla ha estado acumulando tesoros para comprar armas y munición para la revuelta que planea., For many months Ushakapilla has been hoarding booty to buy weapons and ammunition for the planned uprising.
749, para,73, to, PU, Tras su llegada a África alquiló el Lord inmediatamente un tren especial para dirigirse a Rhodesia..., Arriving in Africa the noble lord immediately hired a special train to get to Rhodesia...
752, para,102, for, PU, Al llegar a Rhodesia Lord Cholmondeley se dirigió al único hotel del pequeño poblado de Seijaduntella para que el mundo se olvidara de él., Arriving in Rhodesia Lord Cholmondeley checked into the only hotel in the little settlement of Seijaduntella in order that the world might forget him utterly.
753, para,29, ?, PU, Ya te encontraré algún sitio para que duermas., Ich werde schon irgend eine Schlafstelle für Dich finden.
754, para,17, for, PU, Buscando venados para la mesa de su padre, Looking for game to put on her father's table
755, para,35, to, PU, Con alegría daré mi consentimiento para que estudiéis con mi amigo blanco., I will gladly allow you to study under my white friend.
757, para,29, by, PU, Voy a buscar a mi amigo Jack para que no lo destrocen los leones., I will fetch my friend Jack lest he be torn apart by lions.
769, para,21, to, PU, Tal vez tenga tiempo para ayudarte en tus clases de inglés., Maybe I will find the time to help you with your language lessons.
770, para,28, for, PU, Gestionando nuestro trabajo para la Cruz Roja con la señora Smith., I have taken care of our work for the Red Cross with mrs. Smith.
772, para,23, from, PU, ¡Ha venido desde Japón para matarte!, He has come here all the way from Japan to kill you.
779, para,89, per, PU, Sí fui un estúpido pero ahora ya sé quién eres. ¡Tendré ese papel aunque deba aplastarte para conseguirlo!, Yes I was a fool. But I've found out who and what you are ...and I will have the paper even if I have to crush you for it!
780, para,15, to, PU, Vine a América para vengar a mi madre... ¡no para convertirme en un ladrón!, I've come to Amerika to avenge my mother... not to become a thief!
792, para,88, ?, PU, El padre del príncipe Kossotski coronel retirado de la guardia antes de su muerte testa para que su hijo se incorpore al ejército., The father of Prince Kossotski colonel of the guard in retirement had pronounced as he lay dying his wish that his son follow a career in the army.
797, para,13, to, PU, Me desnudaré para secarme., I must undress to dry myself ...
800, para,27, per, PU, He hipotecado nuestra casa para comprar una mina de cobre., I've mortgaged our home to buy a copper mine.
801, para,36, to, PU, Pero ahora mismo necesito un millón para ponerla en marcha., But right now I need a million to get it going.
803, para,16, to, PU, Demasiado bella para ser una sirvienta., Much too beautiful to be a maid.
804, para,30, to, PU, Usted está casada y yo podría para ser su padre., You are married and I'm old enough to be your father.
807, para,20, for, PU, Si se me hace tarde para coger un tren normalmente suelo coger el especial., If I'm late for my train I usually charter a special.
810, para,19, ?, PU, Me llevaré tu ropa para que no escapes., I'll take your clothes with me so I know you won't run away.
818, para,79, to, PU, Anna Karenina se encuentra con la condesa Vronskaya en la estación quien viaja para ver a su hijo en Moscú., Anna Karenina meets Countess Vronskaya at the station who is travelling to see her son in Moscow.
824, para,64, ?, PU, - Me temo que si me enfrento a él no tendré fuerzas suficientes para insistir en el divorcio. -, I'm afraid that if I face him
828, para,69, to, PU, Como Anna Karenina no puede recuperar su libertad envía a su hermano para que hable con Karenin., Since Anna Karenina could not regain her freedom she sends her brother to Karenin.
829, para,32, for, PU, Te pido Karenin que me perdones para que pueda morir con tranquilidad., I am asking you Karenin to forgive me so that I can die with peace of mind. Anna
830, para,16, to, PU, Sólo estoy aquí para cumplir el último deseo de Anna., I am only here to fulfill Anna's final wish.
837, para,47, for, PU, En 1921 se modificó mucho el negativo original para la versión americana GIPSY BLOOD., In 1921 the original negative was heavily altered for the American version of the film Gypsy Blood.
838, para,8, for, PU, La base para la restauración digital de la Fundación Friedrich-Wilhelm-Murnau en 2018 fue un duplicado incompleto del archivo en blanco y negro del Archivo Estatal de Cine de la RDA., The basis for the digital restoration of the Friedrich Wilhelm Murnau Foundation in 2018 was an incomplete black-and-white archive duplicate from the former holdings of the State Film Archive of the GDR.
841, para,34, for, PU, Éstos también sirvieron como base para el esquema de color que sin embargo sigue siendo en gran medida especulativo., These also served as the basis for the colour plan which however remains largely speculative.
846, para,55, for, PU, Perdona tengo que dejarte sola un momento hermosa niña para controlar a los presos. , Excuse me I have to leave you alone for a moment beautiful child to check on the prisoners.
847, para,51, for, PU, Ve al barrio gitano y consigue una buena bailarina para la fiesta. , Go to the gypsy quarter and arrange a good dancer for the feast.
856, para,11, to, PU, Hemos de separarnos tengo que ir a Gibraltar para explorar buenas oportunidades. , We have to part I must go to Gibraltar seek out some good opportunities.
863, para,46, for, PU, He enviado a casa a los sirvientes esta tarde para evitar testigos indiscretos., Struggle for Life: I sent home the servants this afternoon so we'll avoid any witnesses.
865, para,107, per, PU, Sabiendo que soy rico y huérfano usted y su hermano me han introducido cobardemente en su pervertido mundo para así poder explotarme pero ahora puedo ver con claridad y quiero abandonar esta degradante vida., Knowing that I'm rich and an orphan you and your brother have cowardly conceded to luring me into your perverted world so you can exploit me but I can see clearly now and want to leave this demeaning life. I'll do anything to make it happen.
866, para,36, to, PU, Le daré todo el dinero que necesita para empezar una nueva vida., I'll give all the money you need to start a new life.
871, para,35, for, PU, Su criado me telefoneó esta mañana para decirme la razón de este duelo., You telephoned me this morning to tell me the reason for this duel. You do not...
876, para,35, to, PU, Mañana 2 en punto Villa Floreal preparada para partir., Tomorrow 2 o'clock Villa Floreal be ready to leave.
878, para,29, to, PU, ¿Cree que voy a dejarle vivo para que mate a mi padre en un duelo?, Do you think I can let him go alive to then go and kill my father in a duel?
879, para,16, ?, PU, Eve me esperaba para el té... ha vuelto conmigo!, She has returned with me!
884, para,16, for, PU, Todo está listo para viajar en barco., All fixed up for the boat ride.
889, para,35, by, PU, Hasta ahora la tradición en Huseby para las hijas de los granjeros ... no es compartir la alcoba matrimonial con hijos de minifundistas., As yet there is no tradition here on Huseby for farmers' daughters ...to share the marriage bed with smallholders' sons.
900, para,57, for, PU, Noble Señor vuestro sirviente cuidó los Lugares Sagrados para que nadie los profane!, Noble Lord Your servant is guarding the Holy Shrine from the trampling of foreign feet!
904, para,39, per, PU, Oh Take-San sería una excelente geisha para el dueño de la casa de té., O-Take-San would be a very good Geisha for the keeper of the Teahouse.
908, para,35, by, PU," Esta es la espada que mi padre usó para suicidarse por orden del Mikado""!", This is the sword with which my father killed himself by order of the Mikado!
909, para,29, to, PU," ...y si ella no tiene dinero para comprar su libertad""! ..."," ...and if she has no money to buy herself free!""..."
912, para,40, for, PU, Ven Hanake decoremos la casa con flores para recibirlo!, Come Hanake let us decorate the house with flowers for the reception!
913, para,17, for, PU, Iré al consulado para que me informen!, I'm going to the consulate to ask for him!
920, para,84, to, PU, Bastante después de medianoche unos pocos hombres salieron de la posada de Branehög para ensillar sus caballos y volver a casa., Long after mignight a few men left the inn at Branehög in order to saddle their horses and return home.
925, para,36, to, PU, No soy lo suficientemente rica como para alimentarte y vestirte Elsalill... para que puedas estar sin hacer nada y sigas alimentando tu dolor., I am not wealthy enough Elsalill to feed and clothe you-- so that you may remain idle and nurture your grief.
926, para,24, from, PU, ¡Espero que estén vivos para poder arrancarles el corazón del pecho!, I hope they are alive so I may rip their hearts from their chests!
927, para,24, ?, PU, ¡Espero que estén vivos para poder verlos destrozados y descuartizados!, I hope they are alive so I may see them drawn and quartered!
928, para,16, to, PU, No hemos venido para asustarla sino a pedirle que comparta su relato con nosotros., We did not come to frighten you good maiden but to ask you to share your tale with us.
929, para,20, to, PU, Vinimos a Marstrand para reservar pasaje hacia Escocia pero todos los fiordos y los estrechos están helados., We came to Marstrand to book passage to Scotland but all the fjords and sounds are frozen.
930, para,52, per, PU, ¡Muéstrale al caballero que no careces de educación para responderle adecuadamente Elsalill!, Show the gentleman you do not lack the breeding to respond properly Elsalill!
931, para,8, to, PU, Naciste para pertenecer a la clase alta y no eres una humilde vendedora de pescado., You were born to a higher station and are not a lowly fish wench.
932, para,71, to, PU, Después de ese día Sir Archie iría con frecuencia a la casa de Torarin para hablar con Elsalill., After that day Sir Archie often ventured to Torarin's cottage to speak to Elsalill.
938, para,16, for, PU, Solicitó pasaje para Escocia para él y sus hombres pero no me gusta llevar a ese tipo de rufianes a bordo de mi barco., He requested passage to Scotland for himself and his men but I do not like to have such ruffians aboard my vessel.
945, para,39, to, PU, Debes acudir conmigo a las autoridades para que puedan detener a los asesinos y castigarlos como se merecen., You must go with me to the rightful authorities so they may seize the murderers and duly punish them.
950, para,52, per, PU, Quién sabe qué era lo que le obsesionaba tanto como para estar a la intemperie en una noche como aquella., Who could know what possessed the skipper to be out on such a night as this.
955, para,103, to, PU, Habían ido a recoger a la joven doncella que había amado a un malhechor... y había sacrificado su vida para destruirlo., They had come to collect the young maiden who had loved an evildoer... and had given her life to destroy him.
956, para,10, for, PU, La música para Sir Arne's Treasure es el resultado de la colaboración entre Swedish Film Institute y Swedish Filmindustry, The musical score for Sir Arne's Treasure is the result of a collaboration between the Swedish Film Institute and Swedish Filmindustry
962, para,13, ?, PU," Lo dije sólo para que ella tuviera una sentencia más apacible"".", I said it just so that she would get a milder sentence.
968, para,21, for, PU, Pero no es tan fácil para mí casarme con ella., But it isn't so easy for me to marry her.
974, para,30, to, PU, Si su padre quiere rechazarla para congraciarse con usted, If her father wants to reject her in order to ingratiate himself to you
976, para,54, to, PU, Estoy seguro que está enviando al padre de Brita aquí para mostrarme qué malo es querer que lleve toda la verguenza sola.," I'm sure he's sent Brita's father here to show me how wicked it is to want ""to let her bear all the blame alone."
977, para,47, to, PU, que en estos últimos días no tengo mucho deseo para ir y conseguirla., that in these last few days I haven't had much desire to go and get her.
979, para,15, to, PU, ...no hay nada para ser ganado en su regreso primero es mejor evitar el encuentro., ...there is nothing to be gained in your coming home first it's better to avoid meeting.
981, para,41, to, PU, Sí pero el Gran Ingmar me ha traído aquí para sacar a mi novia de la cárcel., Yes but Big Ingmar has brought me here to get my bride out of jail.
983, para,20, to, PU, Es demasiado grande para ponerlo en la parte de atrás de la carreta., It's too big to put on the back of the cart.
986, para,30, to, PU, Él no pensó que tuviera valor para encontrarse con las lenguas afiladas., He didn't think he had the courage to meet the sharp tongues.
991, para,37, for, PU, Porque no quiero traer el infortunio para Ingmar!, Because I don't want to bring Ingmar misfortune!
995, para,18, to, PU, No tienes derecho para leerla todavía!, You don't have the right to read it yet!
996, para,33, for, PU, Dios sabe que oré todos los días para poder verte antes de irme., God knows I prayed everyday that I might see you before I went.
998, para,45, from, PU, Ella estaba tan contenta no sabía cómo hacer para impedir reírse., She was so happy she didn't know what to do to keep from laughing out loud.
1005, para,62, to, PU, Se necesita algo más que el brillo del sol y un clima hermoso para sentirse tan dichoso como uno de los niños de Dios en el cielo?," Is anything needed more than sunshine and beautiful weather ""to feel as blissful as one of God's children in heaven?"
1009, para,37, to, PU," Me gustaría encontrar al Gran Ingmar para pedirle consejo sobre una situación"".", I would like to meet Big Ingmar to ask his advice about an awkward situation.
1011, para,54, for, PU, Y Brita se fue a la Granja de Ingmar antes de la boda para ayudar a Mamá.," And Brita moved down to Ingmar's Farm before the wedding ""in order to help mother."
1013, para,58, ?, PU, Tenía la sospecha que Brita estaba haciendo algo sobre mí para posponer la boda, I had a suspicion Brita was brooding about me postponing the wedding
1014, para,22, for, PU, Solo así puede quemar para él todo lo de la Granja de Ingmar!, It can just as well burn up for him all of Ingmar's Farm!
1017, para,39, ?, PU, Todo lo que puedo pensar es cómo hacer para herirlos!, All I can think about is how I can hurt them!
1019, para,31, to, PU, Pero ahora era demasiado tarde para hacer eso., But now it was too late to do that.
1020, para,13, because, PU, Ella lo hizo para vengarse de mí porque me habían forzado por ella--, She did it to take revenge on me because I had forced myself on her --
1022, para,57, per, PU, Unos días después él obtuvo el permiso de sus superiores para hacer una parada de dos horas en Orneval para que su compañía se reportara a la estación más cercana..., A few days later he obtained permission from his superiors to make a two-hour stopover in Orneval as his company was to report to a nearby station...
1026, para,21, to, PU, No tengo más motivos para quedarme., I have no more reason to stay.
1027, para,28, to, PU, ella te envió ese telegrama para que te sintieras en libertad de unirte a Jean que está emboscado en alguna parte;, She sent you that telegram to be free to join Jean who's lying low somewhere.
1028, para,11, to, PU, ¡Qué lugar para escribir cartas!, What a spot to write letters!
1029, para,28, to, PU, Ella te envió ese telegrama para que te sintieras en libertad de unirte a Jean que está emboscado en alguna parte., She sent you that telegram to be free to join Jean who's lying low somewhere.
1031, para,15, to, PU, Regreso a casa para agasajar al nuevo teniente..., Back home to celebrate the appointment...
1036, para,128, to, PU, Los cañones están atascados o yacen monstruosamente diseminados el eterno espíritu del Mal planea sobre ésta gigantesca batalla para liberar el mundo., The cannon squat or lie monstrously sprawled the eternal spirit of Evil hovers over this battle to save the world.
1041, para,69, per, PU, Antiguo oficial licenciado por razones de salud solicito ahora permiso para reincorporarme al servicio activo en mi antigua compañía con el rango de soldado raso de segunda a las ordenes del sargento François Laurin., I now request permission to return to active duty in my old company with the rank of Private 2nd Class under the orders of Sergeant Francois Laurin.
1043, para,180, because, PU, Y el visionario les dijo muchas otras cosas cosas profundas y dolorosas que no pueden emerger del barro a través de las imagenes... porque los ojos están aún tan lejos del corazón para comprender verdaderamente., And the visionary told them many other things. Profound and painful things which mustn't emerge from the mud through images because the eyes are still too far from the heart to truly understand.
1046, para,37, for, PU, Jean temiendo un grave peligro ha preparado una serie de cartas para Edith fechadas para los meses por venir así ella permanecería ignorante de lo sucedido tanto tiempo como fuera posible..., Jean fearing the worst had prepared a series of letters for Edith pre-dated with the months to come so that she would remain ignorant as long as possible...
1048, para,63, for, PU, Y mientras su vida se extinguía sus febriles pensamientos eran para su querida Edith a quien había amado tanto si que ella lo supiera y quien mientras tanto debería estar riendo bajo la dulce luz de Provence., And as his life ebbed his feverish last thoughts were for his dear Edith whom he had loved so much without her knowing it and who at that moment may have been laughing in the gentle light of Provence.
1049, para,54, for, PU, Ven a la casa de Edith Laurin a las 10 de la noche... para tener noticias de vuestros muertos., Come to Edith Laurin's home at 10 p.m. for news of your dead. -
1053, para,113, from, PU, - ... ¡Y tú Darmont Bernard Chantonin todos vosotros os habéis enriquecido ávidamente con vergonzosa sangre fría para engordar vuestros bolsillos!, And you Darmont Bernard Chantonin you all greedily profited from the bloodshed shamelessly to line your pockets!
1056, para,32, ?, PU, Es porque ¡capricho amargo! ... para morir mi iré, Abomination has thou clothed In robes of light
1058, para,19, to, PU, ¡Ahora estoy listo para rodar!, Now I'm ready to roll!
1061, para,28, for, PU, Llevará su traje encantador para la cena también?, Will you wear your charming suit for dinner as well?
1062, para,29, for, PU, ¿Se supone que venga desnudo para la cena?, Am I supposed to come naked for dinner?
1065, para,19, for, PU, Llamada telefónica para el Sr. Schulze de Plauen!, Phone call for Mr. Schulze from Plauen!
1070, para,12, to, PU, Simplemente para mostrarle ¡que no tengo timidez!, Just to show you that I am not shy!
1071, para,95, to, PU, Por más de un año el Professor Gesellius el famoso doctor ha estado en China el hogar del opio para poder estudiar este veneno misterioso, For more than a year Professor Gesellius the famous doctor had been in China the homeland of opium in order to study this mysterious poison
1077, para,35, for, PU, Tengo tanto que decir que es vital para la felicidad de la humanidad, I have so much to say that is vital for the happiness of all mankind
1078, para,4, for, PU, ... para la felicidad de la humanidad ..., ... for the happiness of all mankind ...
1079, para,30, to, PU, ... de la ausencia de alegría para que la gente mantenga los pies en el suelo, ... a terrifying absence of joy thrusts people back down to earth
1085, para,16, to, PU, Crucé el océano para estar donde tú estás - hasta que me llegue la hora, I came across the sea to be where you are - until my hour strikes
1098, para,12, to, PU, ¿Estás aquí para guiarme?, Are you here to lead me?
1109, para,49, for, PU, Estas son las personas que reúnen los requisitos para ser capataz., These are the people who qualify to become foreman.
1113, para,12, to, PU, Dame tiempo para pensarlo., Give me time to think about it.
1114, para,34, per, PU, ¡Tengo una noticia muy importante para el periódico!, I've got a fairly important message for the paper!
1118, para,124, because, PU, No vas a dejar que tu sentido de la justicia se exprese porque estás siguiendo los pasos de tu padre y eres demasiado débil para aplicar tus principios., You do not want to let speak the justice in you because you follow in the footsteps of your father and are too weak to practice your principles.
1124, para,24, to, PU, Es demasiado guapa como para no constituir un potente rival de la iglesia., She is too beautiful not to emerge as a powerful adversary of the Church.
1125, para,69, from, PU, Dile a tu señor que todos los tesoros de Ophir no serían suficientes para obtener de mí ni una sola palabra agradable., Tell your master that all the treasures of Ophir wouldn't suffice to buy a single word of love from me!
